State,Location,Cap.,
Alabama,AL,Montgomery,
Alaska,AK,Juneau,
Arizona,AZ,Phoenix,
,,,
Arkansas,AR,Little,rock
California,CA,Sacramento,
Colorado,CO,Denver,
Connecticut,CT,Hartford,
Delaware,DE,Dover,
Florida,FL,Tallahassee,
Georgia,GA,Atlanta,
Hawaii,HI,Honolulu,
,,,
Idaho,ID,Boise,
Illinois,IL,Springfield,
Indiana,IN,Indianapolis,
Iowa,IA,DesMoines,
Kansas,KS,Topeka,
Kentucky,KY,Frankfort,
Louisiana,LA,BatonRouge,
Maine,ME,Augusta,
Maryland,MD,Annapolis,
Massachusetts,MA,Boston,
,,,
Michigan,MI,Lansing,
Minnesota,MN,St.Paul,
Mississippi,MS,Jackson,
Missouri,MO,JeffersonCity,
Montana,MT,Helena,
Nebraska,NE,Lincoln,
Nevada,NV,CarsonCity,
Newhampshire,NH,Concord,
New Jersey,NJ,Trenton,
Newmexico,NM,SantaFe,
NewYork,NY,Albany,
NorthCarolina,NC,Raleigh,
NorthDakota,ND,Bismarck,
Ohio,OH,Columbus,
Oklahoma,OK,OklahomaCity,
Oregon,OR,Salem,
Pennsylvania,PA,Harrisburg,
Rhodeisland,RI,Providence,
Southcarolina,SC,Columbia,
Southdakota,SD,Pierre,
Tennessee,TN,Nashville,
Texas,TX,Austin,
Utah,UT,SaltLakeCity,
Vermont,VT,Montpelier,
Virginia,VA,Richmond,
Washington,WA,Olympia,
WestVirginia,WV,Charleston,
Wisconsin,WI,Madison,
Wyoming,WY,,