Geography,2020/1/1,2020/2/1,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/1/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1
United States,3.5,3.5,4.4,14.8,13.3,11.1,10.2,8.4,7.8,6.9,6.7,6.7,6.3,6.2,6,6.1,5.8
Alabama,2.7,2.6,2.6,13.2,7.9,7.7,7.4,7.1,6.7,4.7,4.7,4.7,4.3,4,3.8,3.6,3.4
Alaska,5,5.1,5.1,11.8,11.6,11.3,11,7.2,7,6.5,6.5,6.5,6.6,6.6,6.7,6.7,6.7
Arizona,4.8,4.9,5,14.2,10.6,10.7,10.4,7,6.9,6.8,6.8,6.8,6.7,6.9,6.7,6.7,6.7
Arkansas,3.7,3.8,3.9,10,8.5,7.8,7.1,6.5,5.9,5.6,5.3,4.9,4.6,4.5,4.4,4.4,4.4
California,4.2,4.3,4.5,16,15.6,14.1,13.2,12.3,10.6,9.8,8.7,9.3,9,8.5,8.3,8,7.9
Colorado,2.7,2.8,4.7,12.1,11.6,11.3,7.4,7.1,7,6.9,6.9,6.9,6.6,6.4,6.4,6.4,6.2
Connecticut,3.7,3.7,3.8,8.6,11.4,11.4,11.3,8.4,8.3,8.2,8.2,8.2,8.1,8.5,8.3,8.1,7.7
Delaware,4.3,4.5,4.8,13.4,13.3,12.9,8.3,7.9,7.6,5.7,5.8,5.9,6.1,6.3,6.5,6.4,5.9
District of Columbia,4.9,5,5.2,11.1,8.9,8.9,8.9,8.8,8.7,8.8,8.8,8.8,8.4,8.1,7.7,7.5,7.2
Florida,3.3,3.3,4.9,14,14.2,11.6,11.5,7.9,7.2,5.8,5.4,5.1,4.8,4.7,4.7,4.8,4.9
Georgia,3.3,3.5,3.6,12.5,9.4,8.4,7.6,7,6.5,5.9,5.6,5.3,5.1,4.8,4.5,4.3,4.1
Hawaii,2,2.1,2.1,state_gdp_raw_in_millions,21.9,14.1,14.1,14.1,14.8,14,10.3,10.3,10.3,9.2,9.1,8.5,8.1
Idaho,2.6,2.6,2.7,11.6,8.3,7,5.9,4.9,6,4.8,4.3,3.8,3.5,3.3,3.2,3.1,3
Illinois,3.5,3.6,3.7,16.5,15.4,14.2,12,11.1,10.4,8.1,8.1,8,7.7,7.4,7.1,7.1,7.1
Indiana,3.2,3.2,3.3,16.9,12,10.1,8.6,7.3,6.3,5.6,5,4.6,4.2,4,3.9,3.9,4
Iowa,2.8,2.9,2.9,11.1,8.3,7.1,6.1,5.3,4.7,4.2,3.9,3.7,3.6,3.7,3.7,3.8,3.9
Kansas,3.1,3.2,3.2,12.6,9,7,6.6,6.2,6.1,4.7,4.7,4.7,3.4,3.8,3.7,3.5,3.5
Kentucky,4.1,4.2,4.2,16.9,10.9,5.7,5.6,5.5,5.5,5.5,5.6,5.6,5.3,5.2,5,4.7,4.5
Louisiana,5.1,5.2,5.3,13.1,13.1,9.4,9.1,8.2,8,7.9,7.9,7.9,7.6,7.6,7.4,7.2,7.1
Maine,3,3.1,3.1,9.1,8.3,5.3,8.8,5.2,4.9,4.8,4.9,5,5.2,4.8,4.8,4.8,4.7
Maryland,3.4,3.5,3.5,9,9,8.6,8.7,8.6,7,6.8,6.8,6.8,6.4,6.2,6.2,6.2,6.1
Massachusetts,2.8,2.8,2.7,16.4,15.3,14.8,9.8,9.3,8.9,8.5,8.4,8.4,7.8,7,6.7,6.4,6.1
Michigan,3.7,3.7,3.7,23.6,20.8,14.1,9,8.5,8.2,8.1,8.2,8.2,5.7,5.2,5.1,4.9,5
Minnesota,3.2,3.3,3.5,9,11.3,8.9,7.6,6.6,5.8,5.3,5,4.7,4.5,4.4,4.2,4.1,4
Mississippi,5.6,5.8,6,15.7,11,9.6,8.5,7.8,7.2,6.9,6.7,6.6,6.4,6.3,6.2,6.2,6.1
Missouri,3.6,3.6,3.7,12.5,9.6,8.1,6.8,6,5.4,5,4.7,4.4,4.3,4.3,4.2,4.1,4.2
Montana,3.7,3.7,3.8,11.9,9.1,7.6,6.6,5.8,5.2,4.7,4.5,4.2,4,3.9,3.8,3.7,3.6
Nebraska,2.9,3,3.1,7.4,5.4,6.6,4.4,4,3.8,3.6,3.4,3.4,3.2,3.1,2.9,2.8,2.6
Nevada,3.7,3.7,6.4,29.5,24.5,15.4,16.6,14.5,13,12,8.7,8.2,8.5,8.4,8.1,8,7.8
New Hampshire,2.6,2.6,2.7,16,13.4,10.3,8.1,6.6,5.5,4.7,4.2,3.8,3.6,3.3,3,2.8,2.5
New Jersey,3.7,3.7,3.8,16.6,16.5,16.3,13.1,11,7.8,7.7,10.2,7.7,7.8,7.8,7.6,7.5,7.2
New Mexico,5.1,5.3,5.4,10,10,9.8,12.5,9.3,8.6,8.5,8.5,8.6,8.7,8.3,8.3,8.1,8
New York,3.8,3.9,3.9,16.2,15.7,15,14.7,11.7,10,8.7,8.7,8.7,8.8,8.9,8.4,8.2,7.8
North Carolina,3.5,3.6,3.9,13.5,13.5,8.8,8.8,6.8,7.3,6.8,6.4,6.1,5.9,5.7,5.2,5,4.8
North Dakota,2.2,2.3,2.3,8.7,8.7,6.2,6.2,6.1,4.7,4.7,4.7,4.7,4.5,4.8,4.4,4.2,4
Ohio,4.5,4.7,4.9,16.4,14.9,10.3,9.3,9,7.4,5.6,5.6,5.6,5.3,5,4.7,4.7,5
Oklahoma,3.1,3.1,3.2,13,9.5,8.2,7.2,6.3,5.7,5.2,4.8,4.5,4.4,4.4,4.3,4.1,4
Oregon,3.4,3.5,3.6,13.2,11.7,10.3,9.6,8.4,7.5,7,6.6,6.3,6.2,6.1,6,5.9,5.9
Pennsylvania,4.8,5,5.1,16.2,13.5,13.3,13,10.2,7.1,7,7.1,7.1,7.3,7.4,7.3,7.1,6.9
Rhode Island,3.8,4,4,17.4,12.9,10.9,14,12.6,10.9,7.3,7.9,7.9,7.2,7.3,7,6.3,5.8
South Carolina,2.6,2.8,3,11.5,11.5,7.7,7.6,5.4,5.4,5.4,5.6,5.6,5.3,5.2,5.1,5,4.6
South Dakota,2.9,2.9,2.9,9.2,7,6.1,5.4,4.7,4,3.7,3.6,3.3,3.1,3,2.9,2.8,2.8
Tennessee,3.7,3.9,4,15.8,9.6,9.3,8.9,8.1,7.9,7.8,5.6,5.6,5.1,4.9,5.1,5,5
Texas,3.6,3.7,4.9,12.9,11.6,10.2,9.3,6.9,7.9,7.3,7.2,6.9,6.8,6.9,6.9,6.7,6.5
Utah,2.4,2.5,2.5,10.1,7.6,6.3,5.4,4.8,4.2,3.8,3.5,3.3,3.1,3,2.9,2.8,2.7
Vermont,2.5,2.5,2.6,14.8,9.3,7.7,6.4,5.4,4.6,4,3.7,3.5,3.2,3,2.9,2.9,2.6
Virginia,2.5,2.5,2.6,11.3,8.5,8.8,7.9,7,6.6,6.1,5.8,5.6,5.3,5.2,5.1,4.7,4.5
Washington,4,4.1,5.3,16.3,12.5,10.8,10.8,9.1,8,7,6.7,6.3,6,5.6,5.5,5.4,5.3
West Virginia,5,5.1,5.3,15.6,11.9,10.5,9.4,8.5,7.9,7.4,7,6.7,6.5,6.2,5.9,5.8,5.5
Wisconsin,3.3,3.3,3.2,14.8,10.4,8.6,7.2,6.1,5.2,4.8,4.4,4,3.8,3.8,3.8,3.9,3.9
Wyoming,4.4,4.8,5.1,5.5,8.5,7.4,6.8,6.2,5.7,5.4,5.3,5.2,5.1,5.3,5.3,5.4,5.4